date,CAD,USD
2020-06-17,1.525411,1.124474
2020-06-18,1.524087,1.120933
2020-06-19,1.521357,1.11795
2020-06-20,1.521148,1.117735
2020-06-21,1.52234,1.118089
2020-06-22,1.523413,1.127319
2020-06-23,1.532406,1.13082
2020-06-24,1.535253,1.125252
2020-06-25,1.530265,1.122271
2020-06-26,1.535483,1.121855
2020-06-27,1.535483,1.121855
2020-06-28,1.535469,1.122441
2020-06-29,1.536136,1.124895
2020-06-30,1.525095,1.123531
2020-07-01,1.528575,1.125235
2020-07-02,1.524777,1.124181
2020-07-03,1.524069,1.124733
2020-07-04,1.523754,1.1245
2020-07-05,1.524029,1.124533
2020-07-06,1.53149,1.131055
2020-07-07,1.533983,1.12738
2020-07-08,1.532153,1.13327
2020-07-09,1.533337,1.128733
2020-07-10,1.536356,1.13006
2020-07-11,1.5355,1.13
2020-07-12,1.537405,1.131602
2020-07-13,1.543875,1.134529
2020-07-14,1.551642,1.140914
2020-07-15,1.541685,1.141222
2020-07-16,1.546043,1.1385
2020-07-17,1.552126,1.14295
2020-07-18,1.552126,1.14295
2020-07-19,1.553009,1.143578
2020-07-20,1.548838,1.14464
2020-07-21,1.550982,1.15327
2020-07-22,1.552168,1.157
2020-07-23,1.554479,1.160257
2020-07-24,1.563945,1.165605
2020-07-25,1.563772,1.16565
2020-07-26,1.564233,1.165283
2020-07-27,1.569698,1.176363
2020-07-28,1.568524,1.172058
2020-07-29,1.572526,1.179039
2020-07-30,1.589849,1.184819
2020-07-31,1.579709,1.177881
2020-08-01,1.579709,1.177881
2020-08-02,1.580334,1.17946
2020-08-03,1.575441,1.176066
2020-08-04,1.570761,1.179817
2020-08-05,1.574839,1.18726
2020-08-06,1.581077,1.188135
2020-08-07,1.577997,1.178885
2020-08-08,1.577961,1.178885
2020-08-09,1.576663,1.177621
2020-08-10,1.568651,1.174162
2020-08-11,1.561945,1.174362
2020-08-12,1.561544,1.17879
2020-08-13,1.56264,1.181748
2020-08-14,1.571197,1.184245
2020-08-15,1.57119,1.18424
2020-08-16,1.570113,1.184187
2020-08-17,1.570439,1.18735
2020-08-18,1.571337,1.19397
2020-08-19,1.565776,1.185161
2020-08-20,1.563931,1.186545
2020-08-21,1.554134,1.17955
2020-08-22,1.554068,1.1795
